Crime ID,Crime Type,Latitude,Longitude,Date and Time,Severity,Area,Victims,Weather,Crime Outcome
62,Drug Dealing,10.984750392225212,76.90359349178605,2016-11-07 11:35:00,2,Singanallur,3,Clear,Resolved
63,Chain Theft,10.923528758035943,76.95131825757473,2021-01-23 23:40:00,5,RS Puram,2,Clear,Unresolved
64,Robbery,10.943555328227696,77.08259836556415,2019-02-21 15:11:00,4,Kuniyamuthur,3,Foggy,Resolved
65,Robbery,10.966227543397176,76.90430656460548,2018-05-24 11:06:00,1,Singanallur,2,Cloudy,Resolved
66,Chain Theft,11.098295737890142,77.08201812530515,2017-08-08 02:32:00,3,RS Puram,4,Rainy,In-progress
67,Drug Dealing,11.02139988003401,77.00565652045708,2015-08-06 19:41:00,2,RS Puram,2,Clear,Unresolved
68,Murder,10.938447327316526,77.04215242966777,2016-03-25 03:42:00,4,Gandhipuram,3,Rainy,In-progress
69,Murder,10.92047834088506,77.01206335593953,2022-03-06 06:26:00,2,Singanallur,3,Foggy,In-progress
70,Murder,11.05687437983713,76.90831050817438,2017-09-18 00:34:00,1,Gandhipuram,5,Clear,Resolved
71,Drug Dealing,11.019299151896773,77.02493218931748,2022-04-13 08:56:00,5,Singanallur,4,Cloudy,Unresolved
72,Rape,11.029797278734236,77.04076146530566,2017-08-23 17:16:00,3,RS Puram,1,Foggy,Resolved
73,Drug Dealing,11.038930999681295,76.99817150605139,2021-01-06 21:06:00,5,Saibaba Colony,2,Foggy,Resolved
74,POCSO,11.029845364865958,77.0201508064615,2023-05-20 00:01:00,1,RS Puram,4,Rainy,Resolved
75,Murder,10.905772949880985,76.95676644200701,2021-11-06 08:41:00,1,Singanallur,3,Rainy,Resolved
76,Murder,10.922415390498868,76.95783754285131,2021-07-25 11:01:00,3,Peelamedu,1,Rainy,In-progress
77,Chain Theft,11.048480536935049,76.93529243938342,2022-06-01 04:32:00,5,RS Puram,5,Foggy,Resolved
78,Chain Theft,10.90667496570946,77.01311608341734,2019-06-18 00:27:00,2,Podanur,1,Rainy,Unresolved
79,POCSO,11.07809336162129,76.92676942261254,2019-08-12 09:43:00,3,Gandhipuram,2,Clear,Resolved
80,Chain Theft,11.090779235335573,76.99710315189314,2016-10-15 09:39:00,5,Saibaba Colony,2,Foggy,Unresolved
81,Murder,11.07302523189472,76.9353436687096,2018-01-22 02:19:00,1,Podanur,3,Clear,Unresolved
82,Robbery,11.072409096621396,76.98188997098356,2021-07-21 14:30:00,1,Kuniyamuthur,3,Clear,In-progress
83,Rape,10.937206226680267,76.90836475272627,2015-07-06 08:38:00,5,Gandhipuram,2,Rainy,Unresolved
84,POCSO,11.043261171380642,76.98915659320048,2016-08-12 08:18:00,2,Singanallur,1,Foggy,In-progress
85,Murder,10.91234150066123,77.05910330841856,2023-05-24 08:52:00,2,RS Puram,1,Rainy,In-progress
86,POCSO,11.009767145215203,76.99100734537727,2017-01-08 15:12:00,1,Singanallur,5,Cloudy,Resolved
87,Murder,11.052557499561185,76.97888815513014,2016-11-10 11:31:00,5,Peelamedu,1,Foggy,Unresolved
88,Chain Theft,10.984625163906898,76.91250337178481,2020-06-09 22:51:00,2,Saibaba Colony,2,Foggy,Resolved
89,Chain Theft,11.088131977497838,76.90365814186386,2021-03-17 22:04:00,1,Peelamedu,4,Clear,Resolved
90,Murder,11.02328973145078,77.03236575835656,2021-11-20 01:55:00,1,Podanur,2,Cloudy,Unresolved
91,POCSO,10.906520861261544,76.92770144938974,2020-03-28 17:48:00,2,Singanallur,5,Foggy,Unresolved
92,Drug Dealing,11.073802028696127,77.02073990958888,2016-03-25 05:52:00,1,Podanur,2,Cloudy,Unresolved
93,Drug Dealing,11.039540294946919,76.99910421319248,2018-05-08 23:44:00,5,Podanur,2,Foggy,In-progress
94,Murder,10.985539438384187,76.91593831147878,2021-11-20 07:22:00,1,RS Puram,5,Clear,Unresolved
95,Drug Dealing,11.007707224742203,76.90125722870648,2020-10-19 04:48:00,4,Singanallur,3,Rainy,Resolved
96,Murder,11.037120031259532,76.97939813435657,2015-07-03 10:13:00,3,Podanur,5,Foggy,Resolved
97,POCSO,10.974316942160703,77.00712390101093,2019-08-05 19:11:00,5,Kuniyamuthur,4,Rainy,In-progress
98,POCSO,10.950967301167047,77.05962852249817,2017-06-24 03:36:00,1,Singanallur,2,Foggy,Resolved
99,Chain Theft,11.071361633329472,77.00649941278544,2023-05-17 12:04:00,1,Podanur,1,Cloudy,In-progress
100,Rape,10.927147343675452,76.95202617621442,2021-06-03 11:11:00,2,Singanallur,3,Clear,Unresolved
101,Chain Theft,11.00995021975154,77.07755079374452,2020-04-03 07:55:00,5,Gandhipuram,3,Foggy,In-progress
102,Chain Theft,10.90775925184747,77.09255777178697,2022-11-19 14:12:00,4,Peelamedu,4,Cloudy,In-progress
103,Murder,11.000620105913969,77.04646515959162,2020-03-25 06:08:00,4,Peelamedu,5,Rainy,Resolved
104,Drug Dealing,11.074837143961812,77.00632676345943,2018-07-13 16:36:00,4,Kuniyamuthur,5,Clear,Unresolved
105,POCSO,10.930440914585539,76.90649771265117,2018-08-31 12:32:00,3,Saibaba Colony,1,Foggy,In-progress
106,POCSO,11.05163337731636,76.95017017080195,2017-12-15 02:05:00,5,Podanur,2,Cloudy,Unresolved
107,POCSO,11.003250240062199,76.92216501457207,2019-11-06 20:17:00,2,Podanur,3,Cloudy,Resolved
108,Murder,10.943576398072228,76.92385113199258,2016-04-03 04:29:00,5,RS Puram,1,Cloudy,Resolved
109,Rape,11.002399251668466,76.95796213172825,2016-06-19 19:35:00,1,Singanallur,5,Foggy,In-progress
110,Robbery,11.010087497122818,76.90928954496549,2019-10-29 18:46:00,1,Podanur,2,Rainy,Unresolved
111,POCSO,11.06890197537205,76.99406904559173,2022-04-05 05:06:00,1,Peelamedu,1,Rainy,Unresolved
112,Drug Dealing,10.991254509940296,77.09880377863564,2022-10-26 06:26:00,5,Saibaba Colony,2,Rainy,Resolved
113,Robbery,10.992042393484532,76.9451899278453,2019-03-01 21:13:00,5,Peelamedu,5,Rainy,Unresolved
114,Chain Theft,10.99928123385033,76.9866668547989,2016-09-21 18:44:00,4,Gandhipuram,2,Rainy,In-progress
115,Robbery,10.989762325811874,77.07358713929867,2015-01-13 17:32:00,2,Saibaba Colony,5,Clear,In-progress
116,Robbery,10.914398190310257,76.936106976874,2017-10-04 10:56:00,3,Saibaba Colony,1,Clear,Resolved
117,Chain Theft,10.963604942636849,77.09859743337668,2016-01-02 20:45:00,2,Gandhipuram,1,Cloudy,In-progress
118,Murder,10.973597288329596,76.92546587903095,2017-09-19 05:15:00,3,RS Puram,5,Cloudy,In-progress
119,Drug Dealing,11.021015526396084,76.91708562430088,2018-10-24 12:46:00,4,Gandhipuram,1,Clear,Unresolved
120,Chain Theft,11.009014013517035,76.96738913915875,2016-01-08 00:41:00,5,Peelamedu,4,Cloudy,In-progress
121,POCSO,10.918417622723114,77.02807597135259,2021-06-11 10:35:00,5,RS Puram,2,Rainy,Unresolved
122,POCSO,11.099834353233001,77.08628388693236,2021-04-11 02:56:00,1,RS Puram,5,Cloudy,In-progress
123,POCSO,10.967351266343957,76.95960985145754,2018-07-28 02:17:00,5,Peelamedu,4,Foggy,In-progress
124,POCSO,11.055813738690352,77.07242166594109,2018-12-30 17:27:00,2,RS Puram,3,Rainy,Unresolved
125,Robbery,11.06766628244458,76.99781335257524,2015-12-29 06:03:00,3,Gandhipuram,4,Rainy,Resolved
126,POCSO,10.946672294131833,76.98168601859635,2017-07-27 04:58:00,3,Gandhipuram,3,Cloudy,Resolved
127,POCSO,10.939687750305296,76.97820135399016,2020-07-14 05:53:00,3,Saibaba Colony,2,Foggy,Unresolved
128,POCSO,10.943491951488054,76.99431056296609,2020-08-14 13:26:00,5,RS Puram,5,Clear,In-progress
129,Murder,11.074711332844666,77.0694942369934,2017-03-31 21:51:00,2,Gandhipuram,5,Rainy,In-progress
130,Chain Theft,11.019217560015171,76.97869596406683,2016-06-06 22:47:00,4,RS Puram,2,Cloudy,Unresolved
131,Rape,11.012852227856325,77.02616542658053,2018-07-04 04:39:00,3,Saibaba Colony,3,Rainy,Resolved
132,Chain Theft,10.965804674616798,76.91972054340198,2017-01-24 02:22:00,3,Kuniyamuthur,4,Rainy,Resolved
133,Chain Theft,10.950876664793157,77.04321418510989,2017-10-07 10:53:00,3,RS Puram,5,Clear,Unresolved
134,Drug Dealing,10.976408657710572,76.9356074952432,2019-12-10 23:51:00,3,Singanallur,1,Foggy,In-progress
135,Chain Theft,10.902353346729306,76.96476368556857,2015-05-24 06:43:00,4,Saibaba Colony,3,Foggy,Unresolved
136,Chain Theft,10.975975035824263,76.9600377814665,2023-05-16 08:50:00,1,Saibaba Colony,1,Rainy,Resolved
137,Rape,11.01908783555429,76.97790513405153,2017-12-17 15:22:00,1,Singanallur,5,Foggy,In-progress
138,Murder,11.047716300492286,77.05804053363072,2016-09-03 10:38:00,5,Gandhipuram,4,Foggy,Resolved
139,Chain Theft,10.939121975090375,76.98043494004874,2023-06-25 09:56:00,5,Singanallur,4,Clear,Unresolved
140,Robbery,10.935263817123605,77.08131231917709,2018-01-25 00:15:00,2,Saibaba Colony,2,Cloudy,Resolved
141,Drug Dealing,11.035405175287439,76.92110310828369,2020-01-31 04:53:00,2,Kuniyamuthur,2,Clear,Resolved
142,Robbery,10.991750551300111,77.07190543194007,2018-07-18 08:30:00,3,Peelamedu,1,Foggy,In-progress
143,Murder,11.031835031707775,77.00762888766512,2016-03-03 20:41:00,1,Kuniyamuthur,2,Rainy,Resolved
144,Murder,10.925789763676582,77.04869154655829,2017-07-28 23:28:00,3,Gandhipuram,4,Foggy,Resolved
145,Chain Theft,10.96797271325065,76.98934212930769,2016-09-20 01:53:00,3,RS Puram,4,Foggy,Unresolved
146,Rape,11.080637501419394,76.92275415409806,2015-10-20 20:57:00,1,Gandhipuram,4,Rainy,Resolved
147,Murder,11.09594316280118,77.0845043809468,2017-09-15 12:21:00,5,Peelamedu,3,Foggy,In-progress
148,Drug Dealing,10.987855086649917,76.92850273534114,2020-07-18 18:07:00,3,RS Puram,2,Foggy,Resolved
149,Rape,11.002045610672575,77.07740769612467,2016-05-17 03:34:00,4,Peelamedu,2,Clear,Resolved
150,Robbery,11.014645496159506,76.97839744464208,2018-01-05 15:04:00,5,Saibaba Colony,5,Rainy,In-progress
151,Chain Theft,10.960686660608397,76.96967385082814,2018-08-06 14:23:00,5,Saibaba Colony,3,Rainy,Resolved
152,Murder,11.007604293928104,77.05767932949247,2016-09-16 23:11:00,5,Singanallur,5,Foggy,Resolved
153,Rape,11.029079456420877,76.91578270487899,2021-06-10 10:17:00,5,RS Puram,1,Cloudy,Resolved
154,Chain Theft,11.032902136459395,77.05309492411934,2018-07-16 17:24:00,3,RS Puram,5,Foggy,Unresolved
155,Murder,11.020657950376867,77.01485102361139,2021-05-29 06:39:00,1,Peelamedu,5,Clear,Unresolved
156,Rape,11.085961418227509,76.95615189804396,2023-03-20 04:02:00,3,Gandhipuram,4,Cloudy,In-progress
157,Drug Dealing,10.956006492866914,76.91668517240535,2017-01-11 02:11:00,2,Peelamedu,4,Foggy,Resolved
158,POCSO,11.090104187882071,77.05666331609363,2018-05-10 14:28:00,3,Podanur,4,Rainy,Resolved
159,Robbery,11.074532962749739,76.9582903494415,2016-03-21 22:39:00,2,Singanallur,5,Foggy,Resolved
160,POCSO,10.97583191996788,76.91573938279265,2015-04-30 10:04:00,3,Peelamedu,4,Foggy,In-progress
161,POCSO,10.938268098014907,76.90797810879502,2018-11-20 18:37:00,1,Peelamedu,3,Rainy,Unresolved
162,Murder,11.02384713509441,77.06787285413114,2015-04-14 14:57:00,4,Gandhipuram,4,Cloudy,Resolved
163,Murder,11.093402000664845,77.01769969507376,2019-01-18 06:13:00,3,RS Puram,3,Clear,Unresolved
164,Drug Dealing,10.929224647761714,76.93537864924711,2021-12-18 06:05:00,2,Podanur,5,Foggy,In-progress
165,Murder,10.913328143236036,76.90996813396946,2016-07-22 10:47:00,2,Kuniyamuthur,4,Rainy,Unresolved
166,POCSO,11.056980729535308,76.97945389889985,2021-12-04 06:33:00,5,Podanur,3,Cloudy,In-progress
167,Rape,11.08441763351618,76.92588363525351,2017-12-01 10:36:00,2,Peelamedu,1,Foggy,Resolved
168,POCSO,10.932214136975722,76.91533606252074,2022-07-15 15:02:00,3,Peelamedu,3,Foggy,Resolved
169,Rape,11.087029024153185,76.93893866473022,2019-05-27 10:39:00,1,Podanur,5,Rainy,Unresolved
170,POCSO,11.070731854296048,77.05329920881029,2015-05-17 18:03:00,5,Kuniyamuthur,5,Foggy,Resolved
171,Rape,10.989638339857967,77.0207936566918,2022-02-22 18:14:00,5,Kuniyamuthur,3,Foggy,Resolved
172,POCSO,10.98500808610963,77.0771908059779,2015-09-25 12:36:00,1,Gandhipuram,5,Clear,Resolved
173,Chain Theft,10.922661826319262,77.0674638846153,2020-07-02 19:19:00,4,Gandhipuram,3,Rainy,In-progress
174,Robbery,11.08198673515408,76.90537921410237,2022-03-15 23:19:00,3,Saibaba Colony,4,Clear,Resolved
175,Rape,10.999302766329217,76.92486744834598,2019-08-29 11:19:00,3,Saibaba Colony,5,Rainy,Resolved
176,Robbery,10.93883440276076,76.98848925959322,2015-05-12 11:25:00,3,Kuniyamuthur,3,Foggy,Resolved
177,Robbery,11.0202759797007,77.08412777252168,2022-11-25 04:43:00,5,Singanallur,2,Cloudy,Unresolved
178,POCSO,11.098618227635837,76.94188774249864,2023-02-05 10:15:00,5,Kuniyamuthur,1,Clear,Unresolved
179,Murder,10.987258844431949,76.96519081686384,2022-09-16 00:12:00,1,Singanallur,5,Clear,In-progress
180,Rape,10.922191831869155,77.09076193130556,2020-12-30 15:36:00,3,Peelamedu,5,Cloudy,In-progress
181,POCSO,10.917511816910793,76.92717458079476,2019-08-01 09:58:00,5,Kuniyamuthur,5,Foggy,Unresolved
182,Drug Dealing,11.070235393631517,77.00885317959995,2023-08-03 05:20:00,5,RS Puram,5,Cloudy,Unresolved
183,Chain Theft,11.09804062453878,76.98326481457305,2019-10-22 19:45:00,2,Podanur,3,Clear,Resolved
184,Rape,11.099659800800076,77.06733856864594,2022-02-10 01:16:00,4,Singanallur,5,Cloudy,Unresolved
185,Rape,11.069248317874768,77.02156302674028,2017-08-17 22:57:00,2,Saibaba Colony,2,Rainy,Resolved
186,Drug Dealing,11.081584116906646,77.09753929246398,2018-02-04 18:04:00,1,Gandhipuram,1,Foggy,In-progress
187,Robbery,10.947506634929795,77.04658826682342,2022-12-01 23:35:00,5,Kuniyamuthur,4,Cloudy,Unresolved
188,Robbery,11.083245748756363,76.96800416722824,2022-11-24 06:22:00,4,Saibaba Colony,3,Rainy,Unresolved
189,Chain Theft,10.936573831636053,77.01828176232772,2019-12-17 07:48:00,2,Kuniyamuthur,2,Clear,Resolved
190,Murder,10.959006074402502,77.06602112245515,2018-01-13 19:08:00,1,Gandhipuram,5,Cloudy,Unresolved
191,POCSO,10.952085949445696,77.09772652907535,2021-04-10 19:07:00,3,RS Puram,4,Rainy,Resolved
192,Robbery,11.058668309316396,76.93338075959964,2015-08-26 07:33:00,1,Kuniyamuthur,4,Clear,In-progress
193,Rape,11.055303379082979,76.95012304019824,2020-04-12 16:55:00,5,Gandhipuram,2,Clear,In-progress
194,Rape,10.99835753162332,76.99628891863668,2019-09-22 12:03:00,4,Podanur,4,Rainy,Unresolved
195,Robbery,11.050144563173465,77.02317798286066,2018-01-20 17:56:00,4,Singanallur,5,Clear,Resolved
196,Chain Theft,10.939211888502486,77.0683114633112,2023-03-16 15:09:00,5,Kuniyamuthur,5,Foggy,Resolved
197,Robbery,11.032224362880514,76.91273815334235,2022-09-04 12:08:00,2,Kuniyamuthur,1,Cloudy,In-progress
198,Murder,11.034992725660771,77.08674121558165,2016-03-01 09:37:00,3,Peelamedu,5,Clear,Unresolved
199,POCSO,10.972381631330135,76.93945787048716,2017-01-05 06:44:00,4,Peelamedu,2,Clear,In-progress
200,Rape,10.97084754423857,77.08771797403628,2016-01-18 07:04:00,4,Singanallur,3,Clear,In-progress
201,Drug Dealing,10.975725157493851,77.00938885626448,2016-10-10 12:18:00,3,Gandhipuram,4,Cloudy,Unresolved
202,Drug Dealing,11.047438703634267,77.01470042144567,2018-11-21 03:55:00,4,Singanallur,5,Rainy,Resolved
203,Rape,11.026939112228886,76.98865922298442,2016-07-22 13:25:00,5,Kuniyamuthur,2,Cloudy,In-progress
204,Murder,10.912126043999127,77.0634337639274,2016-02-08 12:33:00,1,Kuniyamuthur,1,Rainy,In-progress
205,POCSO,10.992313786635318,76.9405079825414,2018-07-06 18:33:00,3,RS Puram,3,Cloudy,In-progress
206,POCSO,10.922659361594679,76.94499274872939,2020-12-04 08:35:00,1,Gandhipuram,4,Foggy,In-progress
207,Murder,10.982870070934165,76.9639567416908,2020-07-19 22:20:00,3,Podanur,3,Foggy,Resolved
208,Robbery,11.056038869377796,76.97174584882099,2022-02-08 15:01:00,5,Gandhipuram,1,Foggy,Unresolved
209,Murder,11.054669749571234,76.91235099252779,2021-07-24 14:15:00,4,RS Puram,1,Foggy,Resolved
210,Drug Dealing,11.058701376235675,77.01594973367553,2023-05-20 06:39:00,4,Saibaba Colony,4,Rainy,In-progress
211,Chain Theft,11.040201526821216,77.01380715272894,2020-02-04 19:18:00,4,Gandhipuram,1,Rainy,In-progress
212,Chain Theft,11.088287027333337,77.00852600187594,2018-09-03 01:30:00,1,Podanur,1,Clear,In-progress
213,POCSO,11.001516992193949,76.9126907613398,2018-08-02 05:03:00,3,Saibaba Colony,2,Cloudy,Resolved
214,Chain Theft,10.924018350535786,77.03075716526031,2021-07-29 05:54:00,1,Peelamedu,5,Rainy,In-progress
215,Chain Theft,11.086547392780334,76.96303324471015,2020-09-15 04:01:00,4,Singanallur,2,Clear,Unresolved
216,POCSO,10.923843188584227,77.04407651454129,2015-01-05 01:33:00,5,Peelamedu,5,Foggy,Resolved
217,Rape,11.072080727304542,76.95192285544402,2023-08-15 07:52:00,4,Peelamedu,4,Foggy,In-progress
218,Murder,11.047086132766706,77.03463123373692,2021-06-10 05:56:00,4,RS Puram,5,Cloudy,Resolved
219,Chain Theft,10.963634938296362,76.90999777346615,2016-10-07 14:23:00,2,Gandhipuram,4,Clear,In-progress
220,Robbery,10.913056741113932,76.91522906484128,2017-05-02 06:19:00,1,Singanallur,4,Cloudy,Unresolved
221,POCSO,11.032772924525013,76.94711646845025,2022-03-22 15:43:00,4,Gandhipuram,3,Cloudy,Unresolved
222,Robbery,11.083372366191638,76.95455737123547,2016-11-03 00:21:00,5,Peelamedu,5,Cloudy,Unresolved
223,POCSO,11.025131659071047,77.05931456470118,2022-05-03 17:09:00,1,Singanallur,2,Cloudy,In-progress
224,Chain Theft,10.90572889792618,76.90744476761338,2017-04-11 02:15:00,1,Peelamedu,3,Clear,Unresolved
225,Robbery,10.914034247710546,77.0782163665073,2019-10-15 12:14:00,3,Peelamedu,4,Rainy,In-progress
226,POCSO,11.072747317571526,76.94145033760203,2020-06-15 20:56:00,1,Singanallur,3,Rainy,Resolved
227,Robbery,11.091943328540466,77.00334231496274,2020-12-06 13:03:00,1,Gandhipuram,2,Cloudy,Resolved
228,Murder,10.916958929633836,76.91815999329931,2023-01-08 20:12:00,4,Podanur,2,Cloudy,Unresolved
229,Rape,11.03066531418033,77.05917302980373,2015-06-24 09:54:00,3,Podanur,4,Clear,Unresolved
230,Rape,11.058336031868485,76.99731550980572,2017-12-30 23:14:00,2,Kuniyamuthur,2,Cloudy,Resolved
231,Murder,11.060877303755463,77.03722896525704,2020-01-24 14:15:00,2,Gandhipuram,5,Cloudy,Unresolved
232,Murder,11.08923338113643,76.92709010054607,2021-07-31 04:22:00,2,Peelamedu,4,Clear,Resolved
233,Murder,11.047781166863919,77.00873201484661,2020-01-08 10:11:00,4,Podanur,5,Clear,Resolved
234,Chain Theft,11.028805450772968,77.00802579554843,2017-12-01 21:33:00,3,Kuniyamuthur,1,Cloudy,In-progress
235,Drug Dealing,10.97681113458487,76.95539066006236,2019-08-02 00:47:00,3,Singanallur,3,Clear,In-progress
236,Chain Theft,11.017461475628146,76.96743793350966,2017-09-12 01:06:00,3,Saibaba Colony,2,Cloudy,Unresolved
237,Drug Dealing,11.001630891707117,77.00791436212127,2022-11-14 21:44:00,1,Gandhipuram,3,Foggy,In-progress
238,Chain Theft,10.973047478504542,76.9174590748662,2015-10-04 09:08:00,4,RS Puram,5,Rainy,In-progress
239,Chain Theft,10.935137474544895,76.91904553469675,2015-01-24 08:35:00,5,RS Puram,1,Foggy,In-progress
